Entity,Code,Year,Solar (TWh - equivalent)
Asia Pacific (BP),,1965,0
Asia Pacific (BP),,1966,0
Asia Pacific (BP),,1967,0
Asia Pacific (BP),,1968,0
Asia Pacific (BP),,1969,0
Asia Pacific (BP),,1970,0
Asia Pacific (BP),,1971,0
Asia Pacific (BP),,1972,0
Asia Pacific (BP),,1973,0
Asia Pacific (BP),,1974,0
Asia Pacific (BP),,1975,0
Asia Pacific (BP),,1976,0
Asia Pacific (BP),,1977,0
Asia Pacific (BP),,1978,0
Asia Pacific (BP),,1979,0
Asia Pacific (BP),,1980,0
Asia Pacific (BP),,1981,0
Asia Pacific (BP),,1982,0
Asia Pacific (BP),,1983,0
Asia Pacific (BP),,1984,0
Asia Pacific (BP),,1985,0
Asia Pacific (BP),,1986,0
Asia Pacific (BP),,1987,0
Asia Pacific (BP),,1988,0
Asia Pacific (BP),,1989,0
Asia Pacific (BP),,1990,0.011833333410322666
Asia Pacific (BP),,1991,0.027943609282374382
Asia Pacific (BP),,1992,0.08161277323961258
Asia Pacific (BP),,1993,0.12744610011577606
Asia Pacific (BP),,1994,0.15790332853794098
Asia Pacific (BP),,1995,0.20894110202789307
Asia Pacific (BP),,1996,0.2902597188949585
Asia Pacific (BP),,1997,0.43472301959991455
Asia Pacific (BP),,1998,0.6000288724899292
Asia Pacific (BP),,1999,0.8464872241020203
Asia Pacific (BP),,2000,1.2670238018035889
Asia Pacific (BP),,2001,1.7876627445220947
Asia Pacific (BP),,2002,2.420039176940918
Asia Pacific (BP),,2003,3.2381932735443115
Asia Pacific (BP),,2004,4.218118667602539
Asia Pacific (BP),,2005,5.304589748382568
Asia Pacific (BP),,2006,6.519128322601318
Asia Pacific (BP),,2007,7.771404266357422
Asia Pacific (BP),,2008,9.35825252532959
Asia Pacific (BP),,2009,12.239425659179688
Asia Pacific (BP),,2010,18.703937530517578
Asia Pacific (BP),,2011,33.55427932739258
Asia Pacific (BP),,2012,48.131534576416016
Asia Pacific (BP),,2013,88.25607299804688
Asia Pacific (BP),,2014,170.58489990234375
Asia Pacific (BP),,2015,257.5147399902344
Asia Pacific (BP),,2016,379.6244812011719
Asia Pacific (BP),,2017,585.9517211914062
Asia Pacific (BP),,2018,819.11328125
Asia Pacific (BP),,2019,1028.7109375
Asia Pacific (BP),,2020,1225.6639404296875
Asia Pacific (BP),,2021,1521.61083984375
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0.016111111268401146
Australia,AUS,1992,0.0357794426381588
Australia,AUS,1993,0.04317194223403931
Australia,AUS,1994,0.0514516644179821
Australia,AUS,1995,0.06254027783870697
Australia,AUS,1996,0.07569888234138489
Australia,AUS,1997,0.09063166379928589
Australia,AUS,1998,0.10526888072490692
Australia,AUS,1999,0.12005388736724854
Australia,AUS,2000,0.13823916018009186
Australia,AUS,2001,0.1590811163187027
Australia,AUS,2002,0.17016805708408356
Australia,AUS,2003,0.18328776955604553
Australia,AUS,2004,0.21021637320518494
Australia,AUS,2005,0.24066999554634094
Australia,AUS,2006,0.27742695808410645
Australia,AUS,2007,0.3216419517993927
Australia,AUS,2008,0.3911600112915039
Australia,AUS,2009,0.8105624914169312
Australia,AUS,2010,2.7135398387908936
Australia,AUS,2011,5.640197277069092
Australia,AUS,2012,6.613548278808594
Australia,AUS,2013,10.485772132873535
Australia,AUS,2014,13.41545295715332
Australia,AUS,2015,16.684375762939453
Australia,AUS,2016,19.91655921936035
Australia,AUS,2017,23.732206344604492
Australia,AUS,2018,32.62854766845703
Australia,AUS,2019,48.230350494384766
Australia,AUS,2020,62.61772537231445
Australia,AUS,2021,81.62411499023438
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0.0029444443061947823
Austria,AUT,1994,0.0029444443061947823
Austria,AUT,1995,0.0029444443061947823
Austria,AUT,1996,0.0029444443061947823
Austria,AUT,1997,0.005916666705161333
Austria,AUT,1998,0.005916666705161333
Austria,AUT,1999,0.005916666705161333
Austria,AUT,2000,0.008861110545694828
Austria,AUT,2001,0.01469444390386343
Austria,AUT,2002,0.026277776807546616
Austria,AUT,2003,0.04350194334983826
Austria,AUT,2004,0.051869723945856094
Austria,AUT,2005,0.060184165835380554
Austria,AUT,2006,0.06369972229003906
Austria,AUT,2007,0.06853693723678589
Austria,AUT,2008,0.08463861048221588
Austria,AUT,2009,0.13660360872745514
Austria,AUT,2010,0.24650777876377106
Austria,AUT,2011,0.48019886016845703
Austria,AUT,2012,0.9253566265106201
Austria,AUT,2013,1.7060405015945435
Austria,AUT,2014,2.1273081302642822
Austria,AUT,2015,2.5235788822174072
Austria,AUT,2016,2.9340760707855225
Austria,AUT,2017,3.3771002292633057
Austria,AUT,2018,3.849882125854492
Austria,AUT,2019,4.486670017242432
Austria,AUT,2020,5.365335464477539
Austria,AUT,2021,5.5601911544799805
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.0021805553697049618
Azerbaijan,AZE,2014,0.00786111131310463
Azerbaijan,AZE,2015,0.012388888746500015
Azerbaijan,AZE,2016,0.09449943900108337
Azerbaijan,AZE,2017,0.0989999994635582
Azerbaijan,AZE,2018,0.10387138277292252
Azerbaijan,AZE,2019,0.11650999635457993
Azerbaijan,AZE,2020,0.12343554943799973
Azerbaijan,AZE,2021,0.14444054663181305
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0.0002916666562668979
Bangladesh,BGD,2003,0.002611110918223858
Bangladesh,BGD,2004,0.005472222343087196
Bangladesh,BGD,2005,0.009722222574055195
Bangladesh,BGD,2006,0.015361110679805279
Bangladesh,BGD,2007,0.02544444426894188
Bangladesh,BGD,2008,0.042712777853012085
Bangladesh,BGD,2009,0.0700969472527504
Bangladesh,BGD,2010,0.12295805662870407
Bangladesh,BGD,2011,0.16110555827617645
Bangladesh,BGD,2012,0.2492419332265854
Bangladesh,BGD,2013,0.3531133532524109
Bangladesh,BGD,2014,0.452275812625885
Bangladesh,BGD,2015,0.534256100654602
Bangladesh,BGD,2016,0.5889455676078796
Bangladesh,BGD,2017,0.6742671728134155
Bangladesh,BGD,2018,0.7277549505233765
Bangladesh,BGD,2019,0.8633941411972046
Bangladesh,BGD,2020,1.0244852304458618
Bangladesh,BGD,2021,1.1793066263198853
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0
Belarus,BLR,2005,0
Belarus,BLR,2006,0
Belarus,BLR,2007,0
Belarus,BLR,2008,0
Belarus,BLR,2009,0
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0.0010888888500630856
Belarus,BLR,2014,0.005416666157543659
Belarus,BLR,2015,0.024250000715255737
Belarus,BLR,2016,0.06960305571556091
Belarus,BLR,2017,0.23685471713542938
Belarus,BLR,2018,0.3121958076953888
Belarus,BLR,2019,0.47183915972709656
Belarus,BLR,2020,0.44646915793418884
Belarus,BLR,2021,0.745835542678833
Belgium,BEL,1965,0
Belgium,BEL,1966,0
Belgium,BEL,1967,0
Belgium,BEL,1968,0
Belgium,BEL,1969,0
Belgium,BEL,1970,0
Belgium,BEL,1971,0
Belgium,BEL,1972,0
Belgium,BEL,1973,0
Belgium,BEL,1974,0
Belgium,BEL,1975,0
Belgium,BEL,1976,0
Belgium,BEL,1977,0
Belgium,BEL,1978,0
Belgium,BEL,1979,0
Belgium,BEL,1980,0
Belgium,BEL,1981,0
Belgium,BEL,1982,0
Belgium,BEL,1983,0
Belgium,BEL,1984,0
Belgium,BEL,1985,0
Belgium,BEL,1986,0
Belgium,BEL,1987,0
Belgium,BEL,1988,0
Belgium,BEL,1989,0
Belgium,BEL,1990,0
Belgium,BEL,1991,0
Belgium,BEL,1992,0
Belgium,BEL,1993,0
Belgium,BEL,1994,0
Belgium,BEL,1995,0
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0
Belgium,BEL,2003,0
Belgium,BEL,2004,0.002888888819143176
Belgium,BEL,2005,0.002861111192032695
Belgium,BEL,2006,0.005694444291293621
Belgium,BEL,2007,0.016972221434116364
Belgium,BEL,2008,0.11802249401807785
Belgium,BEL,2009,0.4635902941226959
Belgium,BEL,2010,1.5543241500854492
Belgium,BEL,2011,3.224867105484009
Belgium,BEL,2012,5.88967752456665
Belgium,BEL,2013,7.206004619598389
Belgium,BEL,2014,7.818998336791992
Belgium,BEL,2015,8.230530738830566
Belgium,BEL,2016,8.286234855651855
Belgium,BEL,2017,8.80301570892334
Belgium,BEL,2018,10.326802253723145
Belgium,BEL,2019,11.207099914550781
Belgium,BEL,2020,13.408256530761719
Belgium,BEL,2021,14.67482852935791
Brazil,BRA,1965,0
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0
Brazil,BRA,1971,0
Brazil,BRA,1972,0
Brazil,BRA,1973,0
Brazil,BRA,1974,0
Brazil,BRA,1975,0
Brazil,BRA,1976,0
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,0
Brazil,BRA,1981,0
Brazil,BRA,1982,0
Brazil,BRA,1983,0
Brazil,BRA,1984,0
Brazil,BRA,1985,0
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,0
Brazil,BRA,2010,0
Brazil,BRA,2011,0
Brazil,BRA,2012,0.0026861110236495733
Brazil,BRA,2013,0.013055555522441864
Brazil,BRA,2014,0.043567221611738205
Brazil,BRA,2015,0.1586630493402481
Brazil,BRA,2016,0.2282458245754242
Brazil,BRA,2017,2.2136967182159424
Brazil,BRA,2018,9.158012390136719
Brazil,BRA,2019,17.54128646850586
Brazil,BRA,2020,28.228252410888672
Brazil,BRA,2021,43.83530807495117
Bulgaria,BGR,1965,0
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,0
Bulgaria,BGR,1975,0
Bulgaria,BGR,1976,0
Bulgaria,BGR,1977,0
Bulgaria,BGR,1978,0
Bulgaria,BGR,1979,0
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,0
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,0
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0
Bulgaria,BGR,1988,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,0
Bulgaria,BGR,2009,0.008388889022171497
Bulgaria,BGR,2010,0.04163360968232155
Bulgaria,BGR,2011,0.27862414717674255
Bulgaria,BGR,2012,2.231935501098633
Bulgaria,BGR,2013,3.7092933654785156
Bulgaria,BGR,2014,3.3917906284332275
Bulgaria,BGR,2015,3.7243807315826416
Bulgaria,BGR,2016,3.710374116897583
Bulgaria,BGR,2017,3.7336971759796143
Bulgaria,BGR,2018,3.5526163578033447
Bulgaria,BGR,2019,3.8023903369903564
Bulgaria,BGR,2020,3.889155864715576
Bulgaria,BGR,2021,3.8977296352386475
CIS (BP),,1965,0
CIS (BP),,1990,0
CIS (BP),,1991,0
CIS (BP),,1992,0
CIS (BP),,1993,0
CIS (BP),,1994,0
CIS (BP),,1995,0
CIS (BP),,1996,0
CIS (BP),,1997,0
CIS (BP),,1998,0
CIS (BP),,1999,0
CIS (BP),,2000,0
CIS (BP),,2001,0
CIS (BP),,2002,0
CIS (BP),,2003,0
CIS (BP),,2004,0
CIS (BP),,2005,0
CIS (BP),,2006,0
CIS (BP),,2007,0
CIS (BP),,2008,0
CIS (BP),,2009,0.000020583333025570028
CIS (BP),,2010,0.0006666666595265269
CIS (BP),,2011,0.005027777515351772
CIS (BP),,2012,0.01738888770341873
CIS (BP),,2013,0.05135750025510788
CIS (BP),,2014,0.4805321991443634
CIS (BP),,2015,1.1069186925888062
CIS (BP),,2016,1.7143558263778687
CIS (BP),,2017,2.0924108028411865
CIS (BP),,2018,2.520357847213745
CIS (BP),,2019,4.440826892852783
CIS (BP),,2020,8.924654960632324
CIS (BP),,2021,10.740325927734375
Canada,CAN,1965,0
Canada,CAN,1966,0
Canada,CAN,1967,0
Canada,CAN,1968,0
Canada,CAN,1969,0
Canada,CAN,1970,0
Canada,CAN,1971,0
Canada,CAN,1972,0
Canada,CAN,1973,0
Canada,CAN,1974,0
Canada,CAN,1975,0
Canada,CAN,1976,0
Canada,CAN,1977,0
Canada,CAN,1978,0
Canada,CAN,1979,0
Canada,CAN,1980,0
Canada,CAN,1981,0
Canada,CAN,1982,0
Canada,CAN,1983,0
Canada,CAN,1984,0
Canada,CAN,1985,0
Canada,CAN,1986,0
Canada,CAN,1987,0
Canada,CAN,1988,0
Canada,CAN,1989,0
Canada,CAN,1990,0
Canada,CAN,1991,0
Canada,CAN,1992,0.006083332933485508
Canada,CAN,1993,0.006083332933485508
Canada,CAN,1994,0.006083332933485508
Canada,CAN,1995,0.011361110024154186
Canada,CAN,1996,0.017444442957639694
Canada,CAN,1997,0.020555555820465088
Canada,CAN,1998,0.029881110414862633
Canada,CAN,1999,0.03921888768672943
Canada,CAN,2000,0.048556942492723465
Canada,CAN,2001,0.057518888264894485
Canada,CAN,2002,0.06636499613523483
Canada,CAN,2003,0.06609222292900085
Canada,CAN,2004,0.04110138490796089
Canada,CAN,2005,0.04867805540561676
Canada,CAN,2006,0.05975361168384552
Canada,CAN,2007,0.0735180526971817
Canada,CAN,2008,0.09835194051265717
Canada,CAN,2009,0.3044055700302124
Canada,CAN,2010,0.7093147039413452
Canada,CAN,2011,1.5771647691726685
Canada,CAN,2012,2.41511607170105
Canada,CAN,2013,4.085373878479004
Canada,CAN,2014,5.743832111358643
Canada,CAN,2015,7.796024322509766
Canada,CAN,2016,10.794678688049316
Canada,CAN,2017,9.510754585266113
Canada,CAN,2018,10.045745849609375
Canada,CAN,2019,10.754234313964844
Canada,CAN,2020,11.241581916809082
Canada,CAN,2021,13.506598472595215
Central America (BP),,1971,0
Central America (BP),,1972,0
Central America (BP),,1973,0
Central America (BP),,1974,0
Central America (BP),,1975,0
Central America (BP),,1976,0
Central America (BP),,1977,0
Central America (BP),,1978,0
Central America (BP),,1979,0
Central America (BP),,1980,0
Central America (BP),,1981,0
Central America (BP),,1982,0
Central America (BP),,1983,0
Central America (BP),,1984,0
Central America (BP),,1985,0
Central America (BP),,1986,0
Central America (BP),,1987,0
Central America (BP),,1988,0
Central America (BP),,1989,0
Central America (BP),,1990,0
Central America (BP),,1991,0
Central America (BP),,1992,0
Central America (BP),,1993,0
Central America (BP),,1994,0
Central America (BP),,1995,0
Central America (BP),,1996,0
Central America (BP),,1997,0
Central America (BP),,1998,0
Central America (BP),,1999,0
Central America (BP),,2000,0
Central America (BP),,2001,0
Central America (BP),,2002,0
Central America (BP),,2003,0
Central America (BP),,2004,0
Central America (BP),,2005,0.0015583332860842347
