Entity,Code,Year,Solar Capacity
Chile,CHL,2005,0
Chile,CHL,2006,0
Chile,CHL,2007,0
Chile,CHL,2008,0
Chile,CHL,2009,0
Chile,CHL,2010,0
Chile,CHL,2011,0
Chile,CHL,2012,2
Chile,CHL,2013,15
Chile,CHL,2014,221
Chile,CHL,2015,576
Chile,CHL,2016,1125
Chile,CHL,2017,1809
Chile,CHL,2018,2137
Chile,CHL,2019,2653.697998046875
Chile,CHL,2020,3205.43798828125
Chile,CHL,2021,4360.0068359375
China,CHN,1996,1
China,CHN,1997,2.5
China,CHN,1998,5
China,CHN,1999,10
China,CHN,2000,33.51499938964844
China,CHN,2001,38.02000045776367
China,CHN,2002,56.529998779296875
China,CHN,2003,66.5999984741211
China,CHN,2004,76.5999984741211
China,CHN,2005,141.1999969482422
China,CHN,2006,160.1999969482422
China,CHN,2007,199
China,CHN,2008,253
China,CHN,2009,414.79998779296875
China,CHN,2010,1021.7999877929688
China,CHN,2011,3107.800048828125
China,CHN,2012,6717.7998046875
China,CHN,2013,17747.80078125
China,CHN,2014,28387.80078125
China,CHN,2015,43537.80078125
China,CHN,2016,77787.796875
China,CHN,2017,130801.2890625
China,CHN,2018,175015.859375
China,CHN,2019,204574.796875
China,CHN,2020,253417.796875
China,CHN,2021,306402.8125
Czechia,CZE,1996,0
Czechia,CZE,1997,0
Czechia,CZE,1998,0
Czechia,CZE,1999,0
Czechia,CZE,2000,0.10000000149011612
Czechia,CZE,2001,0.10000000149011612
Czechia,CZE,2002,0.20000000298023224
Czechia,CZE,2003,0.30000001192092896
Czechia,CZE,2004,0.4000000059604645
Czechia,CZE,2005,0.5860000252723694
Czechia,CZE,2006,0.8410000205039978
Czechia,CZE,2007,3.9609999656677246
Czechia,CZE,2008,39.5
Czechia,CZE,2009,464.6000061035156
Czechia,CZE,2010,1727
Czechia,CZE,2011,1913
Czechia,CZE,2012,2022
Czechia,CZE,2013,2063.5
Czechia,CZE,2014,2067.39990234375
Czechia,CZE,2015,2074.89990234375
Czechia,CZE,2016,2067.89990234375
Czechia,CZE,2017,2069.5
Czechia,CZE,2018,2075.072021484375
Czechia,CZE,2019,2086.424072265625
Czechia,CZE,2020,2122.7109375
Czechia,CZE,2021,2119.2109375
Denmark,DNK,1996,0
Denmark,DNK,1997,0
Denmark,DNK,1998,0
Denmark,DNK,1999,0
Denmark,DNK,2000,1
Denmark,DNK,2001,1
Denmark,DNK,2002,2
Denmark,DNK,2003,2
Denmark,DNK,2004,2
Denmark,DNK,2005,3
Denmark,DNK,2006,3
Denmark,DNK,2007,3
Denmark,DNK,2008,3
Denmark,DNK,2009,5
Denmark,DNK,2010,7
Denmark,DNK,2011,17
Denmark,DNK,2012,402
Denmark,DNK,2013,571
Denmark,DNK,2014,607
Denmark,DNK,2015,782.1079711914062
Denmark,DNK,2016,850.9530029296875
Denmark,DNK,2017,906.3499755859375
Denmark,DNK,2018,998
Denmark,DNK,2019,1080
Denmark,DNK,2020,1304.2939453125
Denmark,DNK,2021,1540.2939453125
Egypt,EGY,1996,0.10000000149011612
Egypt,EGY,1997,0.10000000149011612
Egypt,EGY,1998,0.10000000149011612
Egypt,EGY,1999,0.10000000149011612
Egypt,EGY,2000,0.10000000149011612
Egypt,EGY,2001,0.5
Egypt,EGY,2002,0.6000000238418579
Egypt,EGY,2003,0.6000000238418579
Egypt,EGY,2004,0.6000000238418579
Egypt,EGY,2005,0.6000000238418579
Egypt,EGY,2006,0.6000000238418579
Egypt,EGY,2007,0.699999988079071
Egypt,EGY,2008,0.8999999761581421
Egypt,EGY,2009,1.2999999523162842
Egypt,EGY,2010,15
Egypt,EGY,2011,15
Egypt,EGY,2012,15
Egypt,EGY,2013,15
Egypt,EGY,2014,15
Egypt,EGY,2015,16
Egypt,EGY,2016,39
Egypt,EGY,2017,160
Egypt,EGY,2018,744.2000122070312
Egypt,EGY,2019,1627.199951171875
Egypt,EGY,2020,1655.3900146484375
Egypt,EGY,2021,1655.3900146484375
Europe,,1996,66.9000015258789
Europe,,1997,87.30000305175781
Europe,,1998,105.4000015258789
Europe,,1999,131.5
Europe,,2000,200.10000610351562
Europe,,2001,300.3599853515625
Europe,,2002,384.9939880371094
Europe,,2003,623.77099609375
Europe,,2004,1335.364013671875
Europe,,2005,2315.507080078125
Europe,,2006,3266.6669921875
Europe,,2007,5039.85205078125
Europe,,2008,10458.16015625
Europe,,2009,16835.7421875
Europe,,2010,30119.1640625
Europe,,2011,53564.97265625
Europe,,2012,71716.375
Europe,,2013,81860.5
Europe,,2014,88780.9609375
Europe,,2015,97348.3046875
Europe,,2016,103888.9375
Europe,,2017,110135.0234375
Europe,,2018,119689.7109375
Europe,,2019,141237.796875
Europe,,2020,161782.765625
Europe,,2021,184948.375
Europe (BP),,1996,66.9000015258789
Europe (BP),,1997,87.30000305175781
Europe (BP),,1998,105.4000015258789
Europe (BP),,1999,131.5
Europe (BP),,2000,200.1999969482422
Europe (BP),,2001,300.6600036621094
Europe (BP),,2002,385.593994140625
Europe (BP),,2003,624.77099609375
Europe (BP),,2004,1336.864013671875
Europe (BP),,2005,2317.507080078125
Europe (BP),,2006,3269.1669921875
Europe (BP),,2007,5042.85205078125
Europe (BP),,2008,10461.8603515625
Europe (BP),,2009,16840.44140625
Europe (BP),,2010,30124.85546875
Europe (BP),,2011,53571.6484375
Europe (BP),,2012,71727.984375
Europe (BP),,2013,81876.9453125
Europe (BP),,2014,88815.9609375
Europe (BP),,2015,97535.984375
Europe (BP),,2016,104645.6171875
Europe (BP),,2017,113330.3984375
Europe (BP),,2018,124217
Europe (BP),,2019,145956.625
Europe (BP),,2020,167022.3125
Europe (BP),,2021,191102.90625
France,FRA,1996,4
France,FRA,1997,6
France,FRA,1998,8
France,FRA,1999,9
France,FRA,2000,7
France,FRA,2001,7
France,FRA,2002,8
France,FRA,2003,9
France,FRA,2004,11
France,FRA,2005,13
France,FRA,2006,15
France,FRA,2007,26
France,FRA,2008,80
France,FRA,2009,277
France,FRA,2010,1044
France,FRA,2011,3003.573974609375
France,FRA,2012,4358.75390625
France,FRA,2013,5277.2890625
France,FRA,2014,6034.41796875
France,FRA,2015,7137.51708984375
France,FRA,2016,7702.0810546875
France,FRA,2017,8610.4365234375
France,FRA,2018,9672.2958984375
France,FRA,2019,10807.8740234375
France,FRA,2020,12022.224609375
France,FRA,2021,14709.224609375
Germany,DEU,1996,28
Germany,DEU,1997,42
Germany,DEU,1998,54
Germany,DEU,1999,70
Germany,DEU,2000,114
Germany,DEU,2001,195
Germany,DEU,2002,260
Germany,DEU,2003,435
Germany,DEU,2004,1105
Germany,DEU,2005,2056
Germany,DEU,2006,2899
Germany,DEU,2007,4170
Germany,DEU,2008,6120
Germany,DEU,2009,10564
Germany,DEU,2010,18004
Germany,DEU,2011,25914
Germany,DEU,2012,34075
Germany,DEU,2013,36708
Germany,DEU,2014,37898
Germany,DEU,2015,39222
Germany,DEU,2016,40677
Germany,DEU,2017,42291
Germany,DEU,2018,45156
Germany,DEU,2019,48912
Germany,DEU,2020,53719
Germany,DEU,2021,58459
Greece,GRC,1996,0
Greece,GRC,1997,0
Greece,GRC,1998,0
Greece,GRC,1999,0
Greece,GRC,2000,0
Greece,GRC,2001,1
Greece,GRC,2002,1
Greece,GRC,2003,1
Greece,GRC,2004,1
Greece,GRC,2005,1
Greece,GRC,2006,5
Greece,GRC,2007,9
Greece,GRC,2008,12
Greece,GRC,2009,46
Greece,GRC,2010,202
Greece,GRC,2011,612
Greece,GRC,2012,1536
Greece,GRC,2013,2579
Greece,GRC,2014,2596
Greece,GRC,2015,2604
Greece,GRC,2016,2604
Greece,GRC,2017,2605.530029296875
Greece,GRC,2018,2651.570068359375
Greece,GRC,2019,2833.7939453125
Greece,GRC,2020,3287.719970703125
Greece,GRC,2021,3530
High-income countries,,1996,154.89999389648438
High-income countries,,1997,210
High-income countries,,1998,276.5
High-income countries,,1999,382.5
High-income countries,,2000,733.2000122070312
High-income countries,,2001,999.2999877929688
High-income countries,,2002,1315.530029296875
High-income countries,,2003,1809.75
High-income countries,,2004,2863.969970703125
High-income countries,,2005,4279.64404296875
High-income countries,,2006,5754.93798828125
High-income countries,,2007,8076.8388671875
High-income countries,,2008,14195.2001953125
High-income countries,,2009,22023.6015625
High-income countries,,2010,38649.6953125
High-income countries,,2011,67329.71875
High-income countries,,2012,90870.625
High-income countries,,2013,112369.296875
High-income countries,,2014,135422.4375
High-income countries,,2015,163549.578125
High-income countries,,2016,191791.875
High-income countries,,2017,217127.046875
High-income countries,,2018,246040.296875
High-income countries,,2019,290912.53125
High-income countries,,2020,340517.5625
High-income countries,,2021,395409.46875
Honduras,HND,1996,0
Honduras,HND,1997,0
Honduras,HND,1998,0
Honduras,HND,1999,1
Honduras,HND,2000,1.5989999771118164
Honduras,HND,2001,1.8040000200271606
Honduras,HND,2002,1.975000023841858
Honduras,HND,2003,2.128000020980835
Honduras,HND,2004,2.375999927520752
Honduras,HND,2005,2.6679999828338623
Honduras,HND,2006,2.871999979019165
Honduras,HND,2007,3.2279999256134033
Honduras,HND,2008,3.2279999256134033
Honduras,HND,2009,3.51200008392334
Honduras,HND,2010,3.7279999256134033
Honduras,HND,2011,4.479000091552734
Honduras,HND,2012,5.156000137329102
Honduras,HND,2013,5.156000137329102
Honduras,HND,2014,5.156000137329102
Honduras,HND,2015,393.156005859375
Honduras,HND,2016,414.156005859375
Honduras,HND,2017,453.7860107421875
Honduras,HND,2018,513.6859741210938
Honduras,HND,2019,514
Honduras,HND,2020,514
Honduras,HND,2021,514
Hungary,HUN,1996,0
Hungary,HUN,1997,0
Hungary,HUN,1998,0
Hungary,HUN,1999,0
Hungary,HUN,2000,0
Hungary,HUN,2001,0
Hungary,HUN,2002,0
Hungary,HUN,2003,0
Hungary,HUN,2004,0
Hungary,HUN,2005,0
Hungary,HUN,2006,0
Hungary,HUN,2007,0.4000000059604645
Hungary,HUN,2008,1
Hungary,HUN,2009,1
Hungary,HUN,2010,2
Hungary,HUN,2011,4
Hungary,HUN,2012,12
Hungary,HUN,2013,35
Hungary,HUN,2014,89
Hungary,HUN,2015,172
Hungary,HUN,2016,235
Hungary,HUN,2017,344
Hungary,HUN,2018,728
Hungary,HUN,2019,1400
Hungary,HUN,2020,2131
Hungary,HUN,2021,2131
India,IND,1996,0
India,IND,1997,0
India,IND,1998,0
India,IND,1999,0
India,IND,2000,1.0839999914169312
India,IND,2001,5.534999847412109
India,IND,2002,6.704999923706055
India,IND,2003,7.885000228881836
India,IND,2004,7.809999942779541
India,IND,2005,11.567000389099121
India,IND,2006,9.602999687194824
India,IND,2007,25.099000930786133
India,IND,2008,27.722999572753906
India,IND,2009,39.36199951171875
India,IND,2010,65.36199951171875
India,IND,2011,563.3150024414062
India,IND,2012,978.5819702148438
India,IND,2013,1445.8270263671875
India,IND,2014,3444.008056640625
India,IND,2015,5364.98388671875
India,IND,2016,9650.521484375
India,IND,2017,17923.255859375
India,IND,2018,27124.59765625
India,IND,2019,34860.90625
India,IND,2020,39042.65625
India,IND,2021,49341.5078125
Israel,ISR,1996,0
Israel,ISR,1997,0.30000001192092896
Israel,ISR,1998,0.30000001192092896
Israel,ISR,1999,0.4000000059604645
Israel,ISR,2000,0
Israel,ISR,2001,0
Israel,ISR,2002,0
Israel,ISR,2003,0
Israel,ISR,2004,0
Israel,ISR,2005,1
Israel,ISR,2006,1.2999999523162842
Israel,ISR,2007,1.7999999523162842
Israel,ISR,2008,3
Israel,ISR,2009,24.5
Israel,ISR,2010,69.9000015258789
Israel,ISR,2011,189.6999969482422
Israel,ISR,2012,272
Israel,ISR,2013,376.79998779296875
Israel,ISR,2014,587.0999755859375
Israel,ISR,2015,765.7000122070312
Israel,ISR,2016,873.5999755859375
Israel,ISR,2017,982.2999877929688
Israel,ISR,2018,1285.199951171875
Israel,ISR,2019,1807.4000244140625
Israel,ISR,2020,2230
Israel,ISR,2021,2313
Italy,ITA,1996,16
Italy,ITA,1997,17
Italy,ITA,1998,18
Italy,ITA,1999,18
Italy,ITA,2000,19
Italy,ITA,2001,20
Italy,ITA,2002,22
Italy,ITA,2003,26
Italy,ITA,2004,31
Italy,ITA,2005,34
Italy,ITA,2006,45
Italy,ITA,2007,110
Italy,ITA,2008,483
Italy,ITA,2009,1264
Italy,ITA,2010,3592
Italy,ITA,2011,13131
Italy,ITA,2012,16785
Italy,ITA,2013,18185
Italy,ITA,2014,18594
Italy,ITA,2015,18901
Italy,ITA,2016,19283
Italy,ITA,2017,19682.29296875
Italy,ITA,2018,20107.58984375
Italy,ITA,2019,20865.275390625
Italy,ITA,2020,21650.0390625
Italy,ITA,2021,22692.0390625
Japan,JPN,1996,60
Japan,JPN,1997,91
Japan,JPN,1998,133
Japan,JPN,1999,209
Japan,JPN,2000,330
Japan,JPN,2001,453
Japan,JPN,2002,637
Japan,JPN,2003,860
Japan,JPN,2004,1132
Japan,JPN,2005,1422
Japan,JPN,2006,1708
Japan,JPN,2007,1919
Japan,JPN,2008,2144
Japan,JPN,2009,2627
Japan,JPN,2010,3618
Japan,JPN,2011,4914
Japan,JPN,2012,6632
Japan,JPN,2013,13599
Japan,JPN,2014,23339
Japan,JPN,2015,34150
Japan,JPN,2016,42040
Japan,JPN,2017,49500
Japan,JPN,2018,56162
Japan,JPN,2019,63192
Japan,JPN,2020,69764
Japan,JPN,2021,74191
Jordan,JOR,1996,0
Jordan,JOR,1997,0
Jordan,JOR,1998,0
Jordan,JOR,1999,0
Jordan,JOR,2000,0.014999999664723873
Jordan,JOR,2001,0.014999999664723873
Jordan,JOR,2002,0.014999999664723873
Jordan,JOR,2003,0.014999999664723873
Jordan,JOR,2004,0.014999999664723873
Jordan,JOR,2005,0.014999999664723873
Jordan,JOR,2006,0.014999999664723873
Jordan,JOR,2007,0.014999999664723873
Jordan,JOR,2008,0.014999999664723873
Jordan,JOR,2009,0.014999999664723873
Jordan,JOR,2010,0.014999999664723873
Jordan,JOR,2011,0.0430000014603138
Jordan,JOR,2012,0.0729999989271164
Jordan,JOR,2013,0.14100000262260437
Jordan,JOR,2014,0.23600000143051147
Jordan,JOR,2015,5.557000160217285
Jordan,JOR,2016,286.5929870605469
Jordan,JOR,2017,396.5880126953125
Jordan,JOR,2018,699.6229858398438
Jordan,JOR,2019,1185.6700439453125
Jordan,JOR,2020,1448.375
Jordan,JOR,2021,1520.574951171875
Lower-middle-income countries,,1996,0.10000000149011612
Lower-middle-income countries,,1997,0.10000000149011612
Lower-middle-income countries,,1998,0.10000000149011612
Lower-middle-income countries,,1999,1.100000023841858
Lower-middle-income countries,,2000,9.484999656677246
Lower-middle-income countries,,2001,14.946999549865723
Lower-middle-income countries,,2002,17.215999603271484
Lower-middle-income countries,,2003,19.41900062561035
Lower-middle-income countries,,2004,22.632999420166016
Lower-middle-income countries,,2005,28.739999771118164
Lower-middle-income countries,,2006,29.319000244140625
Lower-middle-income countries,,2007,46.555999755859375
Lower-middle-income countries,,2008,51.279998779296875
Lower-middle-income countries,,2009,69.8239974975586
Lower-middle-income countries,,2010,115.947998046875
Lower-middle-income countries,,2011,810.3380126953125
Lower-middle-income countries,,2012,1437.8330078125
Lower-middle-income countries,,2013,2337.780029296875
Lower-middle-income countries,,2014,4502.35400390625
Lower-middle-income countries,,2015,7127.591796875
Lower-middle-income countries,,2016,12678.287109375
Lower-middle-income countries,,2017,21732.00390625
Lower-middle-income countries,,2018,32703.12890625
Lower-middle-income countries,,2019,50293.74609375
Lower-middle-income countries,,2020,67738.734375
Lower-middle-income countries,,2021,79343.734375
Malaysia,MYS,1996,0
Malaysia,MYS,1997,0
Malaysia,MYS,1998,0
Malaysia,MYS,1999,0
Malaysia,MYS,2000,0
Malaysia,MYS,2001,0
Malaysia,MYS,2002,0
Malaysia,MYS,2003,0
Malaysia,MYS,2004,0
Malaysia,MYS,2005,0
Malaysia,MYS,2006,0
Malaysia,MYS,2007,0.44999998807907104
Malaysia,MYS,2008,0.5400000214576721
Malaysia,MYS,2009,0.5400000214576721
Malaysia,MYS,2010,0.5440000295639038
